response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.4584,0.0000,0.0000,0.0000,1.4583,0.0000,200,1.2998
1.2880,0.0000,0.0000,0.0000,1.2879,0.0000,200,1.4801
1.3314,0.0000,0.0000,0.0000,1.3313,0.0000,200,1.4417
1.5115,0.0000,0.0000,0.0000,1.5114,0.0000,200,1.2742
1.2916,0.0000,0.0000,0.0000,1.2915,0.0000,200,1.5331
1.4058,0.0000,0.0000,0.0000,1.4057,0.0000,200,1.4657
1.4232,0.0000,0.0000,0.0000,1.4231,0.0000,200,1.4619
1.4627,0.0000,0.0000,0.0000,1.4626,0.0000,200,1.4261
1.2923,0.0000,0.0000,0.0000,1.2923,0.0000,200,1.6018
1.5388,0.0000,0.0000,0.0000,1.5387,0.0000,200,1.3583
1.5685,0.0000,0.0000,0.0000,1.5684,0.0000,200,1.3400
1.2217,0.0000,0.0000,0.0000,1.2216,0.0000,200,1.6955
1.2427,0.0000,0.0000,0.0000,1.2426,0.0000,200,1.7112
1.5700,0.0000,0.0000,0.0000,1.5699,0.0001,200,1.4899
1.5108,0.0000,0.0000,0.0000,1.5108,0.0000,200,1.5610
1.3508,0.0000,0.0000,0.0000,1.3507,0.0001,200,2.1298
1.3745,0.0000,0.0000,0.0000,1.3744,0.0000,200,2.1553
1.1626,0.0000,0.0000,0.0000,1.1625,0.0000,200,2.4028
1.2013,0.0000,0.0000,0.0000,1.2012,0.0000,200,2.3910
1.1611,0.0000,0.0000,0.0000,1.1610,0.0000,200,2.4403
1.3860,0.0000,0.0000,0.0000,1.3859,0.0000,200,2.2588
1.3955,0.0000,0.0000,0.0000,1.3954,0.0000,200,2.2940
1.3600,0.0000,0.0000,0.0000,1.3599,0.0001,200,2.3724
1.2963,0.0000,0.0000,0.0000,1.2962,0.0000,200,2.4804
1.1542,0.0000,0.0000,0.0000,1.1542,0.0000,200,2.6266
1.3482,0.0000,0.0000,0.0000,1.3482,0.0000,200,2.4446
1.3480,0.0000,0.0000,0.0000,1.3480,0.0000,200,2.4455
1.1191,0.0000,0.0000,0.0000,1.1190,0.0000,200,2.6934
1.2770,0.0000,0.0000,0.0000,1.2769,0.0001,200,2.5781
1.1809,0.0000,0.0000,0.0000,1.1808,0.0000,200,2.6786
1.1590,0.0000,0.0000,0.0000,1.1589,0.0000,200,2.7100
1.2145,0.0000,0.0000,0.0000,1.2144,0.0000,200,2.6646
1.2971,0.0000,0.0000,0.0000,1.2971,0.0000,200,2.5982
1.4750,0.0000,0.0000,0.0000,1.4749,0.0000,200,2.4601
1.3768,0.0000,0.0000,0.0000,1.3767,0.0000,200,2.5639
1.2968,0.0000,0.0000,0.0000,1.2967,0.0000,200,2.6462
1.2406,0.0000,0.0000,0.0000,1.2406,0.0000,200,2.7029
1.3202,0.0000,0.0000,0.0000,1.3201,0.0001,200,2.6522
1.3253,0.0000,0.0000,0.0000,1.3253,0.0000,200,2.6605
1.3333,0.0000,0.0000,0.0000,1.3333,0.0000,200,2.6709
